Zip.Code,Median Household Income
ZCTA5 11004,91226
ZCTA5 11005,63368
ZCTA5 11010,98517
ZCTA5 11020,123333
ZCTA5 11021,89556
ZCTA5 11023,104511
ZCTA5 11024,96620
ZCTA5 11030,164159
ZCTA5 11040,111035
ZCTA5 11042,
ZCTA5 11050,112461
ZCTA5 11096,45205
ZCTA5 11101,51964
ZCTA5 11102,56674
ZCTA5 11103,62775
ZCTA5 11104,57155
ZCTA5 11105,62841
ZCTA5 11106,56442
ZCTA5 11109,133070
ZCTA5 11201,109472
ZCTA5 11203,46971
ZCTA5 11204,47135
ZCTA5 11205,47437
ZCTA5 11206,31549
ZCTA5 11207,35849
ZCTA5 11208,37640
ZCTA5 11209,65181
ZCTA5 11210,59520
ZCTA5 11211,59190
ZCTA5 11212,28495
ZCTA5 11213,37556
ZCTA5 11214,52119
ZCTA5 11215,108178
ZCTA5 11216,52239
ZCTA5 11217,94970
ZCTA5 11218,60821
ZCTA5 11219,36573
ZCTA5 11220,40576
ZCTA5 11221,43361
ZCTA5 11222,73391
ZCTA5 11223,44647
ZCTA5 11224,31371
ZCTA5 11225,48597
ZCTA5 11226,45031
ZCTA5 11228,63641
ZCTA5 11229,55187
ZCTA5 11230,43344
ZCTA5 11231,84223
ZCTA5 11232,47785
ZCTA5 11233,35686
ZCTA5 11234,75362
ZCTA5 11235,45578
ZCTA5 11236,60885
ZCTA5 11237,46351
ZCTA5 11238,75757
ZCTA5 11239,24610
ZCTA5 11351,
ZCTA5 11354,43660
ZCTA5 11355,38451
ZCTA5 11356,57849
ZCTA5 11357,74255
ZCTA5 11358,66173
ZCTA5 11359,
ZCTA5 11360,82982
ZCTA5 11361,81846
ZCTA5 11362,82827
ZCTA5 11363,90443
ZCTA5 11364,70408
ZCTA5 11365,62509
ZCTA5 11366,78223
ZCTA5 11367,57310
ZCTA5 11368,45980
ZCTA5 11369,51864
ZCTA5 11370,53293
ZCTA5 11371,
ZCTA5 11372,52792
ZCTA5 11373,45677
ZCTA5 11374,55550
ZCTA5 11375,72982
