Zip Code,Population
"ZCTA5 10910, New York",21
"ZCTA5 10911, New York",2
"ZCTA5 10913, New York",5532
"ZCTA5 10914, New York",414
"ZCTA5 10915, New York",119
"ZCTA5 10916, New York",4540
"ZCTA5 10917, New York",1968
"ZCTA5 10918, New York",11647
"ZCTA5 10919, New York",1040
"ZCTA5 10920, New York",8554
"ZCTA5 10921, New York",4135
"ZCTA5 10922, New York",1559
"ZCTA5 10923, New York",8732
"ZCTA5 10924, New York",13120
"ZCTA5 10925, New York",4539
"ZCTA5 10926, New York",3203
"ZCTA5 10927, New York",11910
"ZCTA5 10928, New York",4175
"ZCTA5 10930, New York",8958
"ZCTA5 10931, New York",1023
"ZCTA5 10932, New York",60
"ZCTA5 10933, New York",473
"ZCTA5 10940, New York",48418
"ZCTA5 10941, New York",13779
"ZCTA5 10950, New York",47226
"ZCTA5 10952, New York",38917
"ZCTA5 10953, New York",252
"ZCTA5 10954, New York",23045
"ZCTA5 10956, New York",31521
"ZCTA5 10958, New York",3291
"ZCTA5 10960, New York",15093
"ZCTA5 10962, New York",5950
"ZCTA5 10963, New York",4298
"ZCTA5 10964, New York",1472
"ZCTA5 10965, New York",14791
"ZCTA5 10968, New York",2353
"ZCTA5 10969, New York",1267
"ZCTA5 10970, New York",9993
"ZCTA5 10973, New York",2126
"ZCTA5 10974, New York",3152
"ZCTA5 10975, New York",281
"ZCTA5 10976, New York",2258
"ZCTA5 10977, New York",59048
"ZCTA5 10979, New York",234
"ZCTA5 10980, New York",13383
"ZCTA5 10983, New York",5532
"ZCTA5 10984, New York",2842
"ZCTA5 10985, New York",58
"ZCTA5 10986, New York",1974
"ZCTA5 10987, New York",3395
"ZCTA5 10988, New York",896
"ZCTA5 10989, New York",9293
"ZCTA5 10990, New York",20631
"ZCTA5 10992, New York",9621
"ZCTA5 10993, New York",4769
"ZCTA5 10994, New York",7085
"ZCTA5 10996, New York",6756
"ZCTA5 10998, New York",3122
"ZCTA5 11001, New York",26883
"ZCTA5 11003, New York",41356
"ZCTA5 11004, New York",14016
"ZCTA5 11005, New York",1806
"ZCTA5 11010, New York",23821
"ZCTA5 11020, New York",5914
"ZCTA5 11021, New York",17729
"ZCTA5 11023, New York",9027
"ZCTA5 11024, New York",8002
"ZCTA5 11030, New York",17962
"ZCTA5 11040, New York",40782
"ZCTA5 11042, New York",520
"ZCTA5 11050, New York",30171
"ZCTA5 11096, New York",8344
"ZCTA5 11101, New York",25484
"ZCTA5 11102, New York",34133
"ZCTA5 11103, New York",38780
"ZCTA5 11104, New York",27232
"ZCTA5 11105, New York",36688
"ZCTA5 11106, New York",38875
"ZCTA5 11109, New York",3523
"ZCTA5 11201, New York",51128
"ZCTA5 11203, New York",76174
"ZCTA5 11204, New York",78134
"ZCTA5 11205, New York",40366
"ZCTA5 11206, New York",81677
"ZCTA5 11207, New York",93386
"ZCTA5 11208, New York",94469
"ZCTA5 11209, New York",68853
"ZCTA5 11210, New York",62008
"ZCTA5 11211, New York",90117
"ZCTA5 11212, New York",84500
"ZCTA5 11213, New York",63767
"ZCTA5 11214, New York",88630
"ZCTA5 11215, New York",63488
"ZCTA5 11216, New York",54316
"ZCTA5 11217, New York",35881
"ZCTA5 11218, New York",75220
"ZCTA5 11219, New York",92221
"ZCTA5 11220, New York",99598
"ZCTA5 11221, New York",78895
"ZCTA5 11222, New York",36934
"ZCTA5 11223, New York",78731
"ZCTA5 11224, New York",47621
"ZCTA5 11225, New York",56829
"ZCTA5 11226, New York",101572
"ZCTA5 11228, New York",41788
"ZCTA5 11229, New York",80018
"ZCTA5 11230, New York",86408
"ZCTA5 11231, New York",33336
"ZCTA5 11232, New York",28265
"ZCTA5 11233, New York",67053
"ZCTA5 11234, New York",87757
"ZCTA5 11235, New York",79132
"ZCTA5 11236, New York",93877
"ZCTA5 11237, New York",49896
"ZCTA5 11238, New York",49262
"ZCTA5 11239, New York",13393
"ZCTA5 11351, New York",0
"ZCTA5 11354, New York",54878
"ZCTA5 11355, New York",85871
"ZCTA5 11356, New York",23438
"ZCTA5 11357, New York",39150
"ZCTA5 11358, New York",37546
"ZCTA5 11359, New York",0
"ZCTA5 11360, New York",18884
"ZCTA5 11361, New York",28606
"ZCTA5 11362, New York",17823
"ZCTA5 11363, New York",6988
"ZCTA5 11364, New York",34555
"ZCTA5 11365, New York",42252
"ZCTA5 11366, New York",13532
"ZCTA5 11367, New York",41047
"ZCTA5 11368, New York",109931
"ZCTA5 11369, New York",38615
"ZCTA5 11370, New York",39688
"ZCTA5 11371, New York",0
"ZCTA5 11372, New York",66636
"ZCTA5 11373, New York",100820
"ZCTA5 11374, New York",43600
"ZCTA5 11375, New York",68733
"ZCTA5 11377, New York",89830
"ZCTA5 11378, New York",34981
"ZCTA5 11379, New York",34821
"ZCTA5 11385, New York",98592
"ZCTA5 11411, New York",18556
"ZCTA5 11412, New York",34882
"ZCTA5 11413, New York",38912
"ZCTA5 11414, New York",26148
"ZCTA5 11415, New York",19341
"ZCTA5 11416, New York",24861
"ZCTA5 11417, New York",28967
"ZCTA5 11418, New York",36256
"ZCTA5 11419, New York",47211
"ZCTA5 11420, New York",44354
"ZCTA5 11421, New York",39127
"ZCTA5 11422, New York",30425
"ZCTA5 11423, New York",29987
"ZCTA5 11424, New York",0
"ZCTA5 11425, New York",0
"ZCTA5 11426, New York",17590
"ZCTA5 11427, New York",23593
"ZCTA5 11428, New York",19168
"ZCTA5 11429, New York",25105
"ZCTA5 11430, New York",184
"ZCTA5 11432, New York",60809
"ZCTA5 11433, New York",32687
"ZCTA5 11434, New York",59129
"ZCTA5 11435, New York",53687
"ZCTA5 11436, New York",17949
"ZCTA5 11451, New York",0
"ZCTA5 11501, New York",19148
"ZCTA5 11507, New York",7406
"ZCTA5 11509, New York",2653
"ZCTA5 11510, New York",33048
"ZCTA5 11514, New York",4673
"ZCTA5 11516, New York",7556
"ZCTA5 11518, New York",10549
"ZCTA5 11520, New York",43341
"ZCTA5 11530, New York",27273
"ZCTA5 11542, New York",27633
"ZCTA5 11545, New York",12065
"ZCTA5 11547, New York",793
"ZCTA5 11548, New York",2780
"ZCTA5 11549, New York",2922
"ZCTA5 11550, New York",56435
"ZCTA5 11552, New York",23616
"ZCTA5 11553, New York",26034
"ZCTA5 11554, New York",38132
"ZCTA5 11556, New York",17
"ZCTA5 11557, New York",7823
"ZCTA5 11558, New York",8370
"ZCTA5 11559, New York",8176
"ZCTA5 11560, New York",6464
"ZCTA5 11561, New York",37280
"ZCTA5 11563, New York",22666
"ZCTA5 11565, New York",8690
"ZCTA5 11566, New York",35321
"ZCTA5 11568, New York",4555
"ZCTA5 11569, New York",1398
"ZCTA5 11570, New York",26646
"ZCTA5 11572, New York",30574
"ZCTA5 11575, New York",16272
"ZCTA5 11576, New York",12366
"ZCTA5 11577, New York",12337
"ZCTA5 11579, New York",5055
"ZCTA5 11580, New York",40113
"ZCTA5 11581, New York",20844
"ZCTA5 11590, New York",45768
"ZCTA5 11596, New York",10480
"ZCTA5 11598, New York",13328
"ZCTA5 11691, New York",60035
"ZCTA5 11692, New York",18540
"ZCTA5 11693, New York",11916
"ZCTA5 11694, New York",20408
"ZCTA5 11697, New York",4079
"ZCTA5 11701, New York",27109
"ZCTA5 11702, New York",14498
"ZCTA5 11703, New York",16415
"ZCTA5 11704, New York",40222
"ZCTA5 11705, New York",8030
"ZCTA5 11706, New York",62543
"ZCTA5 11709, New York",6669
"ZCTA5 11710, New York",34496
"ZCTA5 11713, New York",10401
"ZCTA5 11714, New York",22658
"ZCTA5 11715, New York",4752
"ZCTA5 11716, New York",10700
"ZCTA5 11717, New York",60745
"ZCTA5 11718, New York",3103
"ZCTA5 11719, New York",3589
"ZCTA5 11720, New York",29189
"ZCTA5 11721, New York",6292
"ZCTA5 11722, New York",35177
"ZCTA5 11724, New York",3220
"ZCTA5 11725, New York",29150
"ZCTA5 11726, New York",19857
"ZCTA5 11727, New York",29030
"ZCTA5 11729, New York",28032
"ZCTA5 11730, New York",14712
"ZCTA5 11731, New York",30184
"ZCTA5 11732, New York",3430
"ZCTA5 11733, New York",18949
"ZCTA5 11735, New York",32098
"ZCTA5 11738, New York",17638
"ZCTA5 11739, New York",1223
"ZCTA5 11740, New York",9454
"ZCTA5 11741, New York",27655
"ZCTA5 11742, New York",13261
"ZCTA5 11743, New York",42230
"ZCTA5 11746, New York",67094
"ZCTA5 11747, New York",19803
"ZCTA5 11749, New York",3345
"ZCTA5 11751, New York",14961
"ZCTA5 11752, New York",9531
"ZCTA5 11753, New York",12014
"ZCTA5 11754, New York",18958
"ZCTA5 11755, New York",12387
"ZCTA5 11756, New York",42791
"ZCTA5 11757, New York",45700
"ZCTA5 11758, New York",53804
"ZCTA5 11762, New York",22360
"ZCTA5 11763, New York",28506
"ZCTA5 11764, New York",13200
"ZCTA5 11765, New York",737
"ZCTA5 11766, New York",12635
"ZCTA5 11767, New York",14530
"ZCTA5 11768, New York",21902
"ZCTA5 11769, New York",9506
"ZCTA5 11770, New York",137
"ZCTA5 11771, New York",10007
"ZCTA5 11772, New York",44837
"ZCTA5 11776, New York",24235
"ZCTA5 11777, New York",8968
"ZCTA5 11778, New York",12709
"ZCTA5 11779, New York",38421
"ZCTA5 11780, New York",15524
"ZCTA5 11782, New York",15814
"ZCTA5 11783, New York",21288
"ZCTA5 11784, New York",24655
"ZCTA5 11786, New York",6344
"ZCTA5 11787, New York",35772
"ZCTA5 11788, New York",16821
"ZCTA5 11789, New York",7895
"ZCTA5 11790, New York",18511
